gid,weekend,hour_8_10,hour_11_13,hour_14_16,hour_17_19,hour_20_22,hour_23_1,hour_2_4,hour_5_7,num_coord,trip_dist,trip_time,trip_aspeed,act_edu,act_health,act_leisure,act_meal,act_errand,act_shop,act_home,act_work,act_meeting,mode
36123,0,0,0,1,0,0,0,0,0,3.784,1.18997529468208,2.24070968927596,2.94968833505258,0,0,0,0,0,1,0,0,0,1
36135,0,0,0,1,0,0,0,0,0,5.182,2.494031557565,3.60503578191836,2.98061863574394,0,0,0,0,0,0,1,0,0,5
36124,0,0,1,0,0,0,0,0,0,5.226,2.44858838711389,3.80961368625842,2.76631910922619,0,0,0,0,0,0,0,1,0,1
36125,0,0,0,1,0,0,0,0,0,2.773,0.911881023385455,1.83529777124254,2.2082744135228,0,0,0,0,0,0,1,0,0,3
36126,0,0,0,1,0,0,0,0,0,3.258,1.76233065853724,3.14341925145276,2.65324196460721,0,0,0,0,0,0,1,0,0,3
38963,0,0,1,0,0,0,0,0,0,3.219,0.918288734536828,1.73465987718748,2.97552956623647,0,0,0,0,0,1,0,0,0,1
36133,0,0,0,1,0,0,0,0,0,5.624,3.03264262757409,3.8118269089488,3.32862668882732,0,0,0,0,0,0,1,0,0,1
40564,1,0,0,1,0,0,0,0,0,3.258,1.03354029192439,1.86144099242886,3.13983261752775,0,0,0,1,0,0,0,0,0,1
36140,0,0,0,0,1,0,0,0,0,4.174,1.51622553071192,3.08726259139958,2.37954613413017,0,0,0,0,0,0,1,0,0,3
36136,0,0,0,1,0,0,0,0,0,5.624,2.89966180480326,4.07753744390572,2.94443897916644,0,0,0,0,0,0,0,1,0,1
36137,0,0,0,0,1,0,0,0,0,2.773,0.497132296633988,2.11021320034659,1.90210752639692,0,0,0,0,0,0,1,0,0,7
36143,0,0,1,0,0,0,0,0,0,4.263,1.5999934536061,3.18564990696957,2.40694510831829,1,0,0,0,0,0,0,0,0,3
36138,0,0,0,0,1,0,0,0,0,3.332,1.8460898137731,3.19936675447998,2.71469474382088,0,0,0,0,0,0,1,0,0,7
36139,0,0,0,0,1,0,0,0,0,2.996,0.435023910349709,2.11830161288655,2.14006616349627,0,0,0,0,0,0,1,0,0,2
36146,0,0,0,0,1,0,0,0,0,3.932,2.71892419765409,4.03983557672171,2.79116510781272,0,0,0,0,0,0,0,1,0,3
