"gid","weekend","hour_term_8_10","hour_term_11_13","hour_term_14_16","hour_term_17_19","hour_term_20_22","hour_term_23_1","hour_term_2_4","hour_term_5_7","trip_length_km","trip_duration_min","avg_speed_kms","ln_n_coord","education","health","leisure","cafe","errand","shopping","home","work","meeting","mode"
7723,0,0,0,0,1,0,0,0,0,"0.943","11.517","5.50","3.135",0,0,0,0,0,0,1,0,0,"7"
7698,0,0,0,0,0,0,0,0,1,"25.671","30.483","50.80","5.753",0,0,0,0,0,0,0,1,0,"1"
7702,0,0,0,1,0,0,0,0,0,"4.645","7.883","33.70","4.220",0,0,0,0,0,0,1,0,0,"1"
7733,0,0,0,0,1,0,0,0,0,"2.663","7.083","23.40","3.807",0,0,0,0,0,0,1,0,0,"1"
7703,0,0,0,0,1,0,0,0,0,"10.449","34.883","18.50","5.187",0,0,0,0,0,0,1,0,0,"1"
7694,0,0,0,1,0,0,0,0,0,"16.370","45.417","21.80","5.598",0,0,0,0,0,0,0,1,0,"3"
7695,0,0,0,1,0,0,0,0,0,"1.794","8.917","12.50","3.497",0,0,0,0,0,0,1,0,0,"3"
7696,0,0,0,1,0,0,0,0,0,"2.369","21.05","6.80","3.555",0,0,0,0,0,0,1,0,0,"3"
7697,0,0,0,0,1,0,0,0,0,"1.552","11.8","8.80","3.611",0,0,0,0,0,0,0,1,0,"3"
7792,0,0,0,0,0,1,0,0,0,"0.909","2.1","29.20","2.890",0,0,0,0,0,0,1,0,0,"1"
7699,0,0,0,0,1,0,0,0,0,"11.200","89.367","7.70","4.078",0,0,0,0,0,0,1,0,0,"3"
7704,0,0,0,0,1,0,0,0,0,"5.261","37.5","9.10","4.691",0,0,0,0,0,0,1,0,0,"3"
7705,0,0,0,0,0,0,0,1,0,"0.964","6.517","11.30","3.258",0,0,0,0,0,0,1,0,0,"2"
7700,0,0,0,0,0,1,0,0,0,"0.605","17.733","2.40","2.833",0,0,0,0,0,0,1,0,0,"3"
7706,0,0,0,0,0,0,0,0,1,"45.113","34.55","78.70","5.914",0,0,0,0,0,0,1,0,0,"1"
7701,0,0,0,0,1,0,0,0,0,"1.055","2.533","30.90","3.219",0,0,0,0,0,0,0,0,1,"1"
7717,0,0,0,0,1,0,0,0,0,"1.078","3.833","20.70","3.332",0,0,0,0,1,0,0,0,0,"1"
7736,0,0,0,0,1,0,0,0,0,"1.466","4.783","20.70","3.466",0,0,0,0,0,0,1,0,0,"1"
7715,0,0,0,1,0,0,0,0,0,"2.177","11.417","12.60","3.892",0,0,0,0,0,0,1,0,0,"1"
7716,0,0,0,0,0,1,0,0,0,"0.709","13.783","3.70","2.944",0,0,0,0,0,0,1,0,0,"3"
7714,0,0,0,1,0,0,0,0,0,"38.894","67.167","34.90","6.203",0,0,0,0,0,0,1,0,0,"1"
7713,0,0,0,0,0,0,0,0,1,"12.540","8.083","94.80","5.043",0,0,0,0,0,0,0,1,0,"1"
7718,0,0,0,0,0,0,0,0,1,"20.453","24.967","48.90","5.407",0,0,0,0,0,0,0,1,0,"1"
7773,0,0,0,0,0,1,0,0,0,"4.150","7.533","33.80","4.190",0,0,0,0,1,0,0,0,0,"1"
7724,0,0,0,0,1,0,0,0,0,"8.541","23.25","22.00","4.970",0,0,1,0,0,0,0,0,0,"1"
7725,0,0,0,0,0,0,0,0,1,"11.171","17.417","39.10","4.736",0,0,0,0,0,0,0,1,0,"1"
7707,0,0,0,0,1,0,0,0,0,"13.710","22.05","37.30","5.094",0,0,0,0,0,0,1,0,0,"1"
7708,0,0,0,0,1,0,0,0,0,"3.103","10.883","16.70","3.932",0,0,0,0,1,0,0,0,0,"1"
7709,0,0,0,0,0,1,0,0,0,"2.378","8.183","18.00","3.664",0,0,1,0,0,0,0,0,0,"1"
7710,0,0,0,0,1,0,0,0,0,"6.806","17.767","23.30","4.554",0,0,0,0,0,0,1,0,0,"1"
7793,0,0,0,0,1,0,0,0,0,"6.134","24.117","15.70","2.996",0,0,0,0,0,0,1,0,0,"3"
7719,0,0,0,0,0,1,0,0,0,"14.218","13.35","64.80","4.956",0,0,0,0,0,0,1,0,0,"1"
7720,0,0,0,0,1,0,0,0,0,"6.667","16.883","24.90","4.663",0,0,0,0,0,0,1,0,0,"1"
7721,0,0,0,0,0,0,0,0,1,"8.225","18.133","27.90","4.736",0,0,0,0,1,0,0,0,0,"1"
7774,0,0,0,0,0,1,0,0,0,"2.702","7.133","24.50","3.912",0,0,0,0,0,0,1,0,0,"1"
7729,0,0,0,0,1,0,0,0,0,"17.010","18.117","56.30","5.182",0,0,1,0,0,0,0,0,0,"1"
7727,0,0,0,0,0,0,0,1,0,"13.937","62.383","13.60","5.455",0,0,0,0,1,0,0,0,0,"3"
7728,0,0,0,0,0,0,0,1,0,"5.257","19.283","16.60","4.511",0,0,0,0,1,0,0,0,0,"3"
7726,0,0,0,0,1,0,0,0,0,"4.242","8.967","28.40","4.290",0,0,1,0,0,0,0,0,0,"1"
7776,0,0,0,0,1,0,0,0,0,"5.280","43.383","7.70","3.526",0,0,0,1,0,0,0,0,0,"1"
7777,0,0,0,0,1,0,0,0,0,"2.068","16.383","8.40","3.135",0,0,0,1,0,0,0,0,0,"1"
7730,0,0,0,0,0,0,0,0,1,"2.554","4.983","31.20","3.555",0,0,0,0,0,0,0,1,0,"1"
